"Jumlah Murid Sekolah Menengah Pertama (SMP) di Bawah Kementerian Pendidikan Kebudayaan, Riset, dan Teknologi Menurut Kecamatan di Kota Bekasi",,,,,,,,,,,,
Kecamatan,Jumlah Murid Sekolah Negeri,,,,JUMLAH 4 TAHUN ,RATA RATA,Jumlah Murid Sekolah Swasta,,,,JUMLAH 4 TAHUN ,RATA RATA
,,,,,,,,,,,,
,2021,2022,2023,2024,,,2021,2022,2023,2024,,
Pondokgede,3770,4126,4346,4488,16730,4182.5,3026,2911,2846,3046,11829,2957.25
Jatisampurna,2229,2527,2679,2845,10280,2570,2490,2618,2471,2470,10049,2512.25
Pondokmelati,1109,1260,1280,1282,4931,1232.75,2772,2714,2768,2927,11181,2795.25
Jatiasih,6577,6745,6818,6889,27029,6757.25,3638,3813,3916,3688,15055,3763.75
Bantargebang,2296,2420,2588,2956,10260,2565,1933,1759,1595,1419,6706,1676.5
Mustikajaya,4316,4367,4507,4829,18019,4504.75,3468,3347,3321,3399,13535,3383.75
Bekasi Timur,7046,7463,7657,7891,30057,7514.25,4645,3978,3508,3286,15417,3854.25
Rawalumbu,4367,4804,4700,4835,18706,4676.5,5640,5329,5057,5017,21043,5260.75
Bekasi Selatan,5294,5444,5535,5582,21855,5463.75,2526,2205,2112,2106,8949,2237.25
Bekasi Barat,3700,4465,4971,5271,18407,4601.75,3697,3348,3075,3103,13223,3305.75
Medansatria,2228,2287,2442,2616,9573,2393.25,3845,3491,3311,3248,13895,3473.75
Bekasi utara,6380,6837,7095,7413,27725,6931.25,7446,6657,5870,6004,25977,6494.25
